time,open,volume
1585378800000,6167.56,13740593.87
1585382400000,6184.31,26243882.61
1585386000000,6256.4,18456889.98
1585389600000,6251.54,13761823.52
1585393200000,6260.32,25314932.26
1585396800000,6236.78,13316758.07
1585400400000,6233.1,21244313.66
1585404000000,6223.84,10735136.18
1585407600000,6238.64,13614064.41
1585411200000,6215,12024297.27
1585414800000,6230.96,51149934.27
1585418400000,6025.79,47609361.74
1585422000000,6163.97,15842268.83
1585425600000,6210.77,24375428.27
1585429200000,6244.12,13832760.73
1585432800000,6218.42,9477122.36
1585436400000,6213.7,10803003.4
1585440000000,6236.65,11111375.08
1585443600000,6212.88,7387176.05
1585447200000,6216.83,4464041.75
1585450800000,6199.37,6845661.79
1585454400000,6202.95,3384057.96
1585458000000,6203,9326050.45
1585461600000,6146.71,7752976.09
1585465200000,6152.82,12391180.16
1585468800000,6153.9,17427296.81
1585472400000,6132.4,11807164.13
1585476000000,6088.37,22392933.44
1585479600000,6171.09,19987493.5
1585483200000,6138.35,22013996.13
1585486800000,6122.16,12258609.5
1585490400000,6123.46,10793753.27
1585494000000,6142.89,9566062.56
1585497600000,6129.79,27972505.3
1585501200000,6085.36,14546045.13
1585504800000,6103.78,12012404.93
1585508400000,6063.79,64476836.98
1585512000000,5905.29,29195629.6
1585515600000,5947.83,12445900.63
1585519200000,5895.2,17108212.74
1585522800000,5918.24,17039758.52
1585526400000,5881.42,21880722.34
1585530000000,5902.02,13698327.44
1585533600000,5940.22,29639714.55
1585537200000,5987.5,13904357.1
1585540800000,6009.09,15248786.09
1585544400000,6034.99,67822122.41
1585548000000,6202.98,30475354.97
1585551600000,6217.05,51605246.3
1585555200000,6242.69,30179129.57
1585558800000,6271.25,18968311.82
1585562400000,6249.45,29298685.38
1585566000000,6277.46,43837232.22
1585569600000,6355.56,34501076.16
1585573200000,6302.75,21030391.67
1585576800000,6302.53,28639759.41
1585580400000,6326.27,56145835.79
1585584000000,6343.58,27825261.7
1585587600000,6377.88,18981896.33
1585591200000,6350.46,13868738.34
1585594800000,6363.01,15609364.17
1585598400000,6366.74,45313451.2
1585602000000,6463.3,41972972.45
1585605600000,6528.47,43037093.33
1585609200000,6458,34085895.72
1585612800000,6394.38,22258381.62
1585616400000,6439.55,16621482.91
1585620000000,6514.07,17108477.85
1585623600000,6449.66,22691104.85
1585627200000,6439.47,24729796.97
1585630800000,6398.93,14154300.63
1585634400000,6415.6,19908119.92
1585638000000,6471.56,12946172.84
1585641600000,6445.09,22099117.38
1585645200000,6493.93,21756849.3
1585648800000,6440.04,17849949.14
1585652400000,6431.32,33851325.81
1585656000000,6387.19,30648571.81
1585659600000,6447.37,26358461.37
1585663200000,6418,20883874.64
1585666800000,6452.04,25343803.86
1585670400000,6454.12,18120887.14
1585674000000,6427.59,15200058.27
1585677600000,6452.79,15038936.47
1585681200000,6462.37,16047293.92
1585684800000,6463.47,16207519.69
1585688400000,6467.5,13622726.48
1585692000000,6442.61,7707041.79
1585695600000,6431.55,14626241.96
1585699200000,6410.44,57230360.58
